Image Index,Detector Type,Descriptor Type,TTC Camera,TTC Lidar,TTC diff,Mean diff
1,SHITOMASI,BRISK,13.9019,12.5156,1.3863,
2,,,12.9876,12.6142,0.3734,
3,,,13.2474,14.091,0.843599999999999,
4,,,12.8899,16.6894,3.7995,
5,,,13.4476,15.7465,2.2989,
6,,,13.5266,12.7835,0.7431,
7,,,12.7172,11.9844,0.732799999999999,
8,,,13.712,13.1241,0.587899999999999,
9,,,11.5126,13.0241,1.5115,
10,,,13.456,11.1746,2.2814,
11,,,11.9816,12.8086,0.827,
12,,,11.8135,8.95978,2.85372,
13,,,12.0367,9.96439,2.07231,
14,,,11.342,9.59863,1.74337,
15,,,9.07784,8.52157,0.55627,
16,,,10.4612,9.51552,0.945679999999999,
17,,,11.6823,9.61241,2.06989,
18,,,9.73863,8.3988,1.33983,1.498
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,BRIEF,14.0747,12.5156,1.5591,
2,,,13.8102,12.6142,1.196,
3,,,11.7319,14.091,2.3591,
4,,,13.6007,16.6894,3.0887,
5,,,12.3,15.7465,3.4465,
6,,,13.2703,12.7835,0.486800000000001,
7,,,21.3557,11.9844,9.3713,
8,,,12.5199,13.1241,0.604200000000001,
9,,,11.6077,13.0241,1.4164,
10,,,13.6717,11.1746,2.4971,
11,,,11.7805,12.8086,1.0281,
12,,,11.7604,8.95978,2.80062,
13,,,11.7545,9.96439,1.79011,
14,,,11.6524,9.59863,2.05377,
15,,,11.2953,8.52157,2.77373,
16,,,11.5174,9.51552,2.00188,
17,,,11.1869,9.61241,1.57449,
18,,,7.96939,8.3988,0.42941,2.249
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,ORB,13.5031,12.5156,0.987500000000001,
2,,,12.6968,12.6142,0.082599999999999,
3,,,11.99,14.091,2.101,
4,,,12.5517,16.6894,4.1377,
5,,,12.1886,15.7465,3.5579,
6,,,13.7364,12.7835,0.9529,
7,,,11.9941,11.9844,0.009699999999999,
8,,,12.5093,13.1241,0.614800000000001,
9,,,11.3469,13.0241,1.6772,
10,,,13.3149,11.1746,2.1403,
11,,,11.3246,12.8086,1.484,
12,,,11.5372,8.95978,2.57742,
13,,,12.3111,9.96439,2.34671,
14,,,11.3471,9.59863,1.74847,
15,,,10.4584,8.52157,1.93683,
16,,,10.8903,9.51552,1.37478,
17,,,10.7263,9.61241,1.11389,
18,,,8.08727,8.3988,0.311529999999999,1.62
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,FREAK,13.6475,12.5156,1.1319,
2,,,13.5738,12.6142,0.9596,
3,,,11.0783,14.091,3.0127,
4,,,12.9215,16.6894,3.7679,
5,,,12.8536,15.7465,2.8929,
6,,,15.1537,12.7835,2.3702,
7,,,13.2138,11.9844,1.2294,
8,,,13.2008,13.1241,0.076699999999999,
9,,,11.9031,13.0241,1.121,
10,,,13.5328,11.1746,2.3582,
11,,,11.328,12.8086,1.4806,
12,,,12.0664,8.95978,3.10662,
13,,,12.5626,9.96439,2.59821,
14,,,11.7034,9.59863,2.10477,
15,,,10.2263,8.52157,1.70473,
16,,,11.4542,9.51552,1.93868,
17,,,10.8743,9.61241,1.26189,
18,,,8.24847,8.3988,0.15033,1.848
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,SIFT,14.2804,12.5156,1.7648,
2,,,12.9004,12.6142,0.286199999999999,
3,,,11.6087,14.091,2.4823,
4,,,12.9209,16.6894,3.7685,
5,,,12.1886,15.7465,3.5579,
6,,,13.0553,12.7835,0.271800000000001,
7,,,12.6612,11.9844,0.6768,
8,,,12.1376,13.1241,0.9865,
9,,,11.9899,13.0241,1.0342,
10,,,13.5009,11.1746,2.3263,
11,,,12.1076,12.8086,0.701000000000001,
12,,,11.8967,8.95978,2.93692,
13,,,11.6227,9.96439,1.65831,
14,,,10.9335,9.59863,1.33487,
15,,,12.5287,8.52157,4.00713,
16,,,10.68,9.51552,1.16448,
17,,,10.7884,9.61241,1.17599,
18,,,9.52513,8.3988,1.12633,1.737
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,BRISK,10.9082,12.5156,1.6074,
2,,,10.195,12.6142,2.4192,
3,,,-80.8525,14.091,94.9435,
4,,,11.5792,16.6894,5.1102,
5,,,-inf,15.7465,,
6,,,12.9945,12.7835,0.211,
7,,,12.2395,11.9844,0.255099999999999,
8,,,28.9604,13.1241,15.8363,
9,,,nan,13.0241,,
10,,,-inf,11.1746,,
11,,,11.7414,12.8086,1.0672,
12,,,11.6948,8.95978,2.73502,
13,,,568.322,9.96439,558.35761,
14,,,7.72144,9.59863,1.87719,
15,,,-12.639,8.52157,21.16057,
16,,,6.33929,9.51552,3.17623,
17,,,12.5848,9.61241,2.97239,
18,,,-inf,8.3988,,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,BRIEF,10.9082,12.5156,1.6074,
2,,,11.0081,12.6142,1.6061,
3,,,-11.4731,14.091,25.5641,
4,,,11.5792,16.6894,5.1102,
5,,,35.3833,15.7465,19.6368,
6,,,15.2483,12.7835,2.4648,
7,,,14.2744,11.9844,2.29,
8,,,17.6204,13.1241,4.4963,
9,,,3.30058,13.0241,9.72352,
10,,,-13.4405,11.1746,24.6151,
11,,,11.7414,12.8086,1.0672,
12,,,11.6948,8.95978,2.73502,
13,,,284.161,9.96439,274.19661,
14,,,5.6061,9.59863,3.99253,
15,,,-13.6263,8.52157,22.14787,
16,,,6.7641,9.51552,2.75142,
17,,,12.5848,9.61241,2.97239,23.94
18,,,-inf,8.3988,,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,ORB,10.9082,12.5156,1.6074,
2,,,11.0081,12.6142,1.6061,
3,,,-11.4731,14.091,25.5641,
4,,,11.5792,16.6894,5.1102,
5,,,34.7543,15.7465,19.0078,
6,,,13.6217,12.7835,0.838200000000001,
7,,,13.497,11.9844,1.5126,
8,,,17.6204,13.1241,4.4963,
9,,,nan,13.0241,,
10,,,20.5862,11.1746,9.4116,
11,,,11.4377,12.8086,1.3709,
12,,,11.6948,8.95978,2.73502,
13,,,13.4327,9.96439,3.46831,
14,,,5.85828,9.59863,3.74035,
15,,,-13.6263,8.52157,22.14787,
16,,,6.71705,9.51552,2.79847,
17,,,12.5848,9.61241,2.97239,
18,,,-inf,8.3988,,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,FREAK,9.74953,12.5156,2.76607,
2,,,10.586,12.6142,2.0282,
3,,,-10.295,14.091,24.386,
4,,,12.1284,16.6894,4.561,
5,,,89.8332,15.7465,74.0867,
6,,,13.5907,12.7835,0.8072,
7,,,13.6036,11.9844,1.6192,
8,,,12.9162,13.1241,0.2079,
9,,,nan,13.0241,,
10,,,10.2931,11.1746,0.881499999999999,
11,,,11.7414,12.8086,1.0672,
12,,,11.6948,8.95978,2.73502,
13,,,13.4327,9.96439,3.46831,
14,,,nan,9.59863,,
15,,,-25.2781,8.52157,33.79967,
16,,,6.64741,9.51552,2.86811,
17,,,nan,9.61241,,
18,,,nan,8.3988,,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,SIFT,10.9082,12.5156,1.6074,
2,,,63.8475,12.6142,51.2333,
3,,,-80.8525,14.091,94.9435,
4,,,11.5792,16.6894,5.1102,
5,,,13.6432,15.7465,2.1033,
6,,,27.8744,12.7835,15.0909,
7,,,13.497,11.9844,1.5126,
8,,,17.6204,13.1241,4.4963,
9,,,3.93864,13.0241,9.08546,
10,,,-13.4405,11.1746,24.6151,
11,,,11.4377,12.8086,1.3709,
12,,,11.6948,8.95978,2.73502,
13,,,13.4327,9.96439,3.46831,
14,,,5.66097,9.59863,3.93766,
15,,,-inf,8.52157,,
16,,,7.29175,9.51552,2.22377,
17,,,12.5848,9.61241,2.97239,
18,,,-inf,8.3988,,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,FAST,BRISK,12.3541,12.5156,0.161499999999998,
2,,,12.3908,12.6142,0.2234,
3,,,12.9751,14.091,1.1159,
4,,,13.0276,16.6894,3.6618,
5,,,-inf,15.7465,,
6,,,13.0932,12.7835,0.309699999999999,
7,,,12.093,11.9844,0.108599999999999,
8,,,11.4003,13.1241,1.7238,
9,,,11.9612,13.0241,1.0629,
10,,,13.5598,11.1746,2.3852,
11,,,13.1502,12.8086,0.3416,
12,,,12.2294,8.95978,3.26962,
13,,,11.9837,9.96439,2.01931,
14,,,11.6152,9.59863,2.01657,
15,,,11.7805,8.52157,3.25893,
16,,,12.6953,9.51552,3.17978,
17,,,8.69919,9.61241,0.913220000000001,
18,,,11.9006,8.3988,3.5018,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,FAST,BRIEF,11.2952,12.5156,1.2204,
2,,,10.6644,12.6142,1.9498,
3,,,12.7728,14.091,1.3182,
4,,,13.6141,16.6894,3.0753,
5,,,18.831,15.7465,3.0845,
6,,,13.5019,12.7835,0.718399999999999,
7,,,12.075,11.9844,0.090599999999999,
8,,,12.0107,13.1241,1.1134,
9,,,12.3427,13.0241,0.6814,
10,,,12.5213,11.1746,1.3467,
11,,,14.2159,12.8086,1.4073,
12,,,11.0543,8.95978,2.09452,
13,,,12.0599,9.96439,2.09551,
14,,,11.7063,9.59863,2.10767,
15,,,11.5866,8.52157,3.06503,
16,,,11.7158,9.51552,2.20028,
17,,,7.56242,9.61241,2.04999,
18,,,11.0839,8.3988,2.6851,1.795
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,FAST,ORB,11.4035,12.5156,1.1121,
2,,,10.8658,12.6142,1.7484,
3,,,12.8008,14.091,1.2902,
4,,,13.177,16.6894,3.5124,
5,,,32.168,15.7465,16.4215,
6,,,12.9934,12.7835,0.209899999999999,
7,,,12.6571,11.9844,0.672699999999999,
8,,,12.2709,13.1241,0.853200000000001,
9,,,12.3278,13.0241,0.696300000000001,
10,,,13.4681,11.1746,2.2935,
11,,,14.0827,12.8086,1.2741,
12,,,11.6118,8.95978,2.65202,
13,,,12.6032,9.96439,2.63881,
14,,,11.0976,9.59863,1.49897,
15,,,10.907,8.52157,2.38543,
16,,,11.4782,9.51552,1.96268,
17,,,9.93546,9.61241,0.32305,
18,,,11.6017,8.3988,3.2029,2.486
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,FAST,FREAK,11.6549,12.5156,0.8607,
2,,,28.3371,12.6142,15.7229,
3,,,14.313,14.091,0.222000000000001,
4,,,14.1341,16.6894,2.5553,
5,,,47.214,15.7465,31.4675,
6,,,12.5064,12.7835,0.277100000000001,
7,,,12.2021,11.9844,0.217699999999999,
8,,,11.5751,13.1241,1.549,
9,,,12.2131,13.0241,0.811,
10,,,13.3448,11.1746,2.1702,
11,,,12.9428,12.8086,0.1342,
12,,,11.9977,8.95978,3.03792,
13,,,12.1401,9.96439,2.17571,
14,,,11.3269,9.59863,1.72827,
15,,,10.8115,8.52157,2.28993,
16,,,12.2541,9.51552,2.73858,
17,,,9.31956,9.61241,0.292850000000001,
18,,,12.3773,8.3988,3.9785,4.013
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,FAST,SIFT,11.428,12.5156,1.0876,
2,,,11.6674,12.6142,0.9468,
3,,,14.0554,14.091,0.035599999999999,
4,,,14.745,16.6894,1.9444,
5,,,28.4716,15.7465,12.7251,
6,,,13.2095,12.7835,0.426,
7,,,12.2695,11.9844,0.2851,
8,,,12.6027,13.1241,0.5214,
9,,,12.1408,13.0241,0.8833,
10,,,13.8308,11.1746,2.6562,
11,,,14.3108,12.8086,1.5022,
12,,,11.803,8.95978,2.84322,
13,,,12.5265,9.96439,2.56211,
14,,,11.5341,9.59863,1.93547,
15,,,11.4113,8.52157,2.88973,
16,,,11.2503,9.51552,1.73478,
17,,,7.50634,9.61241,2.10607,
18,,,10.822,8.3988,2.4232,2.195
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,BRISK,BRISK,13.4086,12.5156,0.893000000000001,
2,,,21.5276,12.6142,8.9134,
3,,,12.625,14.091,1.466,
4,,,15.2037,16.6894,1.4857,
5,,,27.6679,15.7465,11.9214,
6,,,18.3114,12.7835,5.5279,
7,,,17.1427,11.9844,5.1583,
8,,,16.0991,13.1241,2.975,
9,,,14.801,13.0241,1.7769,
10,,,13.9297,11.1746,2.7551,
11,,,13.1359,12.8086,0.327299999999999,
12,,,11.3409,8.95978,2.38112,
13,,,11.8565,9.96439,1.89211,
14,,,12.4013,9.59863,2.80267,
15,,,12.7089,8.52157,4.18733,
16,,,11.503,9.51552,1.98748,
17,,,9.29379,9.61241,0.318620000000001,
18,,,10.7753,8.3988,2.3765,3.286
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,BRISK,BRIEF,12.8448,12.5156,0.3292,
2,,,16.8618,12.6142,4.2476,
3,,,11.6672,14.091,2.4238,
4,,,20.5725,16.6894,3.8831,
5,,,19.7052,15.7465,3.9587,
6,,,17.5642,12.7835,4.7807,
7,,,15.5883,11.9844,3.6039,
8,,,18.7451,13.1241,5.621,
9,,,15.4645,13.0241,2.4404,
10,,,11.4853,11.1746,0.310700000000001,
11,,,13.3676,12.8086,0.558999999999999,
12,,,14.3096,8.95978,5.34982,
13,,,12.3266,9.96439,2.36221,
14,,,10.9457,9.59863,1.34707,
15,,,11.6294,8.52157,3.10783,
16,,,12.1739,9.51552,2.65838,
17,,,11.3792,9.61241,1.76679,
18,,,10.7022,8.3988,2.3034,2.836
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,BRISK,ORB,14.6839,12.5156,2.1683,
2,,,20.3646,12.6142,7.7504,
3,,,13.2508,14.091,0.840199999999999,
4,,,16.3706,16.6894,0.3188,
5,,,20.2973,15.7465,4.5508,
6,,,21.3891,12.7835,8.6056,
7,,,16.4769,11.9844,4.4925,
8,,,16.1591,13.1241,3.035,
9,,,14.9216,13.0241,1.8975,
10,,,11.5139,11.1746,0.3393,
11,,,13.7091,12.8086,0.900499999999999,
12,,,11.024,8.95978,2.06422,
13,,,11.7553,9.96439,1.79091,
14,,,12.4047,9.59863,2.80607,
15,,,11.4092,8.52157,2.88763,
